query;label
"DELETE FROM customers WHERE email = 'pending';";0
"DELETE FROM inventory WHERE price = 'john@example.com';";0
"UPDATE orders SET email = 'pending' WHERE email = '2023-01-01';";0
"SELECT email FROM logs WHERE user_id = 'john@example.com';";0
"SELECT id, created_at, quantity, name FROM sessions WHERE email = 'Sample text';";0
"INSERT INTO employees (email, quantity, id, description) VALUES ('pending', 'user123', 'active', 123);";0
"SELECT created_at FROM employees WHERE description = 123;";0
"DELETE FROM users WHERE id = 'john@example.com';";0
"SELECT quantity FROM users WHERE email = 'john@example.com';";0
"UPDATE employees SET price = 'user123' WHERE id = 'pending';";0
"UPDATE sessions SET user_id = 456 WHERE description = '2023-01-01';";0
"DELETE FROM users WHERE description = 'john@example.com';";0
"UPDATE customers SET user_id = 'john@example.com' WHERE email = 'active';";0
"UPDATE employees SET quantity = 123 WHERE email = '2023-01-01';";0
"DELETE FROM employees WHERE user_id = 'john@example.com';";0
"UPDATE orders SET quantity = 'user123' WHERE status = 'Sample text';";0
"DELETE FROM users WHERE id = '2023-01-01';";0
"SELECT quantity FROM employees WHERE name = 'active';";0
"UPDATE inventory SET price = 'Sample text' WHERE name = 'user123';";0
"UPDATE sessions SET status = 'pending' WHERE id = 'Sample text';";0
"SELECT quantity, price, user_id, id FROM logs WHERE price = 'john@example.com';";0
"UPDATE orders SET price = 'john@example.com' WHERE created_at = '2023-01-01';";0
"UPDATE sessions SET id = 'Sample text' WHERE user_id = 'Sample text';";0
"SELECT description, created_at, quantity FROM orders WHERE price = 456;";0
"INSERT INTO inventory (price, status, name, email) VALUES (123, 'john@example.com', 'active', 'john@example.com');";0
"DELETE FROM users WHERE user_id = 'john@example.com';";0
"UPDATE products SET created_at = 'pending' WHERE quantity = 'pending';";0
"INSERT INTO employees (description, status, created_at) VALUES ('john@example.com', 'john@example.com', 'active');";0
"INSERT INTO users (status, created_at, email) VALUES ('2023-01-01', 456, 456);";0
"SELECT name FROM logs WHERE description = 'user123';";0
"INSERT INTO customers (quantity, name) VALUES ('Sample text', 'user123');";0
"INSERT INTO users (user_id, created_at, status, email) VALUES (123, 'user123', 'active', 'user123');";0
"SELECT name, description, created_at FROM users WHERE user_id = 123;";0
"INSERT INTO products (created_at, id) VALUES ('pending', 'pending');";0
"SELECT created_at, quantity, email, name FROM customers WHERE description = '2023-01-01';";0
"SELECT name FROM logs WHERE description = 'pending';";0
"DELETE FROM inventory WHERE email = 'pending';";0
"UPDATE inventory SET id = 'user123' WHERE name = '2023-01-01';";0
"INSERT INTO users (created_at, user_id, email, name) VALUES (123, 'Sample text', 123, 'pending');";0
"INSERT INTO logs (name, user_id, email, created_at) VALUES (456, 456, 456, 'user123');";0
"INSERT INTO sessions (email, name, id) VALUES ('active', 'active', 'Sample text');";0
"UPDATE employees SET id = 'Sample text' WHERE id = 'user123';";0
"UPDATE users SET created_at = 'user123' WHERE user_id = 'john@example.com';";0
"INSERT INTO logs (id, quantity, created_at, status) VALUES (123, 123, 'active', 456);";0
"UPDATE inventory SET status = 'john@example.com' WHERE email = 'pending';";0
"DELETE FROM sessions WHERE name = 'pending';";0
"DELETE FROM logs WHERE id = 'Sample text';";0
"INSERT INTO users (email, price, user_id, name) VALUES ('active', 'pending', 'active', 'pending');";0
"UPDATE customers SET price = 'john@example.com' WHERE email = 'user123';";0
"INSERT INTO products (user_id, name, status, email) VALUES ('active', 456, 'Sample text', '2023-01-01');";0
"SELECT id, description FROM products WHERE user_id = 456;";0
"SELECT price, created_at, description, quantity FROM orders WHERE created_at = 123;";0
"DELETE FROM inventory WHERE id = 'user123';";0
"DELETE FROM logs WHERE status = 'user123';";0
"DELETE FROM inventory WHERE name = 'john@example.com';";0
"INSERT INTO employees (description, quantity, created_at, user_id) VALUES ('Sample text', 'Sample text', '2023-01-01', 456);";0
"INSERT INTO logs (created_at, id, user_id, email) VALUES ('2023-01-01', 'user123', 456, 'user123');";0
"DELETE FROM products WHERE name = '2023-01-01';";0
"UPDATE logs SET price = 'Sample text' WHERE email = '2023-01-01';";0
"INSERT INTO logs (id, name) VALUES ('user123', 'Sample text');";0
"INSERT INTO employees (created_at, user_id) VALUES (123, 123);";0
"SELECT email FROM sessions WHERE id = 'user123';";0
"UPDATE customers SET status = 'user123' WHERE quantity = 123;";0
"INSERT INTO orders (created_at, price, email) VALUES (456, 123, '2023-01-01');";0
"DELETE FROM logs WHERE id = 123;";0
"INSERT INTO orders (quantity, status, id, user_id) VALUES (123, 123, 'john@example.com', 'user123');";0
"INSERT INTO customers (user_id, quantity, name) VALUES ('Sample text', 123, 456);";0
"INSERT INTO inventory (price, quantity, user_id) VALUES ('2023-01-01', '2023-01-01', 'Sample text');";0
"UPDATE customers SET price = '2023-01-01' WHERE price = '2023-01-01';";0
"UPDATE logs SET id = 456 WHERE name = 'active';";0
"DELETE FROM employees WHERE description = 456;";0
"SELECT name, quantity, id FROM logs WHERE price = 456;";0
"INSERT INTO customers (user_id, description) VALUES ('user123', '2023-01-01');";0
"DELETE FROM inventory WHERE email = 'active';";0
"INSERT INTO sessions (created_at, user_id) VALUES ('pending', 'pending');";0
"DELETE FROM sessions WHERE name = 'Sample text';";0
"UPDATE sessions SET price = 'pending' WHERE created_at = '2023-01-01';";0
"DELETE FROM logs WHERE created_at = 'pending';";0
"UPDATE customers SET status = 'pending' WHERE description = 'Sample text';";0
"SELECT name, id, user_id, created_at FROM sessions WHERE description = 'john@example.com';";0
"SELECT quantity, status, description FROM customers WHERE quantity = 'Sample text';";0
"INSERT INTO employees (user_id, status, description) VALUES ('pending', 'Sample text', 456);";0
"INSERT INTO logs (description, id, quantity) VALUES ('Sample text', 'Sample text', 'active');";0
"SELECT status FROM users WHERE id = 'active';";0
"SELECT name, user_id, email FROM customers WHERE status = 'john@example.com';";0
"UPDATE users SET price = 456 WHERE description = 'user123';";0
"UPDATE sessions SET user_id = 'active' WHERE id = 123;";0
"DELETE FROM employees WHERE status = '2023-01-01';";0
"UPDATE employees SET status = 'pending' WHERE description = 123;";0
"INSERT INTO logs (created_at, quantity, user_id) VALUES ('2023-01-01', 123, 'user123');";0
"DELETE FROM customers WHERE id = '2023-01-01';";0
"UPDATE inventory SET quantity = 'john@example.com' WHERE created_at = 'user123';";0
"DELETE FROM inventory WHERE email = 'user123';";0
"DELETE FROM orders WHERE id = 123;";0
"DELETE FROM employees WHERE status = 'user123';";0
"SELECT status, email FROM logs WHERE name = 'Sample text';";0
"SELECT name, email, created_at FROM products WHERE price = 123;";0
"DELETE FROM sessions WHERE price = 'pending';";0
"DELETE FROM employees WHERE id = 'user123';";0
"SELECT user_id FROM sessions WHERE user_id = 'john@example.com';";0
"DELETE FROM users WHERE description = 'user123';";0
"DELETE FROM users WHERE price = 'Sample text';";0
"DELETE FROM inventory WHERE user_id = '2023-01-01';";0
"UPDATE orders SET id = '2023-01-01' WHERE description = 'active';";0
"DELETE FROM products WHERE name = 456;";0
"SELECT created_at, description FROM employees WHERE user_id = '2023-01-01';";0
"UPDATE logs SET price = 'john@example.com' WHERE price = 'pending';";0
"DELETE FROM users WHERE status = '2023-01-01';";0
"UPDATE employees SET status = 'john@example.com' WHERE quantity = 456;";0
"SELECT quantity, description, price, id FROM products WHERE user_id = 456;";0
"UPDATE products SET created_at = 123 WHERE name = 456;";0
"UPDATE sessions SET quantity = 'active' WHERE description = 'active';";0
"DELETE FROM sessions WHERE price = 'john@example.com';";0
"INSERT INTO inventory (id, quantity) VALUES (456, 'user123');";0
"INSERT INTO products (quantity, description, id) VALUES ('Sample text', '2023-01-01', 'active');";0
"DELETE FROM logs WHERE description = 'john@example.com';";0
"INSERT INTO users (id, description, status, quantity) VALUES ('2023-01-01', 'Sample text', 456, '2023-01-01');";0
"DELETE FROM customers WHERE status = '2023-01-01';";0
"UPDATE users SET name = 'active' WHERE created_at = 'active';";0
"UPDATE inventory SET name = 'john@example.com' WHERE price = 123;";0
"DELETE FROM logs WHERE status = 'pending';";0
"UPDATE users SET price = 'user123' WHERE quantity = 'Sample text';";0
"INSERT INTO logs (name, price, description, id) VALUES (123, '2023-01-01', 'Sample text', '2023-01-01');";0
"INSERT INTO customers (status, user_id, email, created_at) VALUES ('john@example.com', 'Sample text', 'active', 123);";0
"INSERT INTO inventory (name, quantity, created_at) VALUES ('Sample text', '2023-01-01', 123);";0
"DELETE FROM inventory WHERE created_at = 456;";0
"SELECT quantity, user_id, status, created_at FROM logs WHERE email = 'Sample text';";0
"INSERT INTO employees (created_at, status, email) VALUES ('active', 456, 'john@example.com');";0
"DELETE FROM inventory WHERE description = 'active';";0
"DELETE FROM sessions WHERE name = 123;";0
"SELECT user_id, status, description FROM inventory WHERE quantity = 'john@example.com';";0
"SELECT created_at, quantity, status, description FROM inventory WHERE quantity = 456;";0
"UPDATE customers SET description = '2023-01-01' WHERE price = 123;";0
"INSERT INTO orders (description, name, id, created_at) VALUES ('user123', 'pending', 123, 123);";0
"INSERT INTO logs (email, quantity) VALUES ('2023-01-01', 456);";0
"UPDATE employees SET description = 'pending' WHERE created_at = 123;";0
"DELETE FROM users WHERE status = 456;";0
"INSERT INTO sessions (user_id, name, status, id) VALUES ('Sample text', 'john@example.com', 'user123', 'user123');";0
"UPDATE customers SET price = '2023-01-01' WHERE id = 123;";0
"DELETE FROM users WHERE quantity = 'pending';";0
"INSERT INTO employees (id, name) VALUES ('2023-01-01', 'pending');";0
"UPDATE customers SET status = 'user123' WHERE price = 'Sample text';";0
"DELETE FROM orders WHERE id = 456;";0
"SELECT created_at, quantity, status, price FROM products WHERE user_id = 'user123';";0
"UPDATE employees SET user_id = 'john@example.com' WHERE status = '2023-01-01';";0
"INSERT INTO users (price, created_at, description) VALUES ('john@example.com', '2023-01-01', 456);";0
"DELETE FROM logs WHERE name = 'Sample text';";0
"UPDATE logs SET price = 'Sample text' WHERE created_at = '2023-01-01';";0
"SELECT id, price, status FROM customers WHERE name = 'active';";0
"DELETE FROM logs WHERE price = 'user123';";0
"DELETE FROM logs WHERE email = 'Sample text';";0
"DELETE FROM employees WHERE name = 'pending';";0
"SELECT status, quantity, created_at, description FROM logs WHERE description = 'active';";0
"UPDATE sessions SET created_at = 'john@example.com' WHERE price = 123;";0
"INSERT INTO logs (name, quantity, email) VALUES (456, 'Sample text', 'user123');";0
"SELECT quantity, id, price, description FROM sessions WHERE status = '2023-01-01';";0
"INSERT INTO employees (user_id, price, status) VALUES ('Sample text', 'Sample text', 'Sample text');";0
"DELETE FROM orders WHERE name = 'pending';";0
"UPDATE sessions SET name = 'Sample text' WHERE quantity = 'Sample text';";0
"DELETE FROM users WHERE email = 'pending';";0
"INSERT INTO products (description, user_id, email) VALUES (456, 'pending', 456);";0
"DELETE FROM orders WHERE created_at = '2023-01-01';";0
"SELECT id, name, price FROM sessions WHERE name = 123;";0
"INSERT INTO users (user_id, id) VALUES ('pending', '2023-01-01');";0
"DELETE FROM products WHERE id = 'user123';";0
"SELECT name FROM inventory WHERE id = 'pending';";0
"SELECT created_at, user_id, id FROM logs WHERE user_id = 'john@example.com';";0
"UPDATE customers SET status = 'pending' WHERE created_at = '2023-01-01';";0
"INSERT INTO users (quantity, description, id, email) VALUES ('2023-01-01', 'pending', 456, 'pending');";0
"INSERT INTO sessions (created_at, quantity, user_id) VALUES (123, 'Sample text', 'pending');";0
"UPDATE customers SET email = 'user123' WHERE status = 'active';";0
"SELECT id, user_id FROM users WHERE price = '2023-01-01';";0
"INSERT INTO orders (id, quantity, status, email) VALUES ('2023-01-01', 'user123', 'active', 456);";0
"INSERT INTO orders (email, id, user_id) VALUES ('pending', 'Sample text', 'active');";0
"INSERT INTO orders (quantity, name, description, price) VALUES ('Sample text', 'pending', 'Sample text', '2023-01-01');";0
"SELECT description FROM customers WHERE description = 'active';";0
"UPDATE inventory SET price = 'active' WHERE user_id = 'pending';";0
"SELECT status, user_id, id, name FROM customers WHERE created_at = 123;";0
"UPDATE sessions SET user_id = 123 WHERE description = 456;";0
"SELECT created_at, name, user_id FROM products WHERE description = 'john@example.com';";0
"SELECT name, id FROM customers WHERE id = 123;";0
"INSERT INTO inventory (status, email) VALUES ('user123', 456);";0
"SELECT description FROM sessions WHERE created_at = '2023-01-01';";0
"DELETE FROM orders WHERE description = 'user123';";0
"UPDATE orders SET user_id = '2023-01-01' WHERE status = 123;";0
"DELETE FROM orders WHERE quantity = '2023-01-01';";0
"INSERT INTO customers (price, name, id) VALUES ('active', 'john@example.com', 'active');";0
"SELECT name, user_id FROM sessions WHERE email = 'pending';";0
